	Neo.1	Neo.2	Neo.3	Week4.1	Week4.2	Week4.3	Year1.1	Year1.2	Month18.1	Month18.2
Tnks2	72.6257717969221	58.4703747880274	75.0452730790392	51.1781753877595	52.3985087767019	49.6393278599952	33.758735763077	41.7134858994757	31.4694714515093	34.563547406355
Tnmd	0	0	0	0	0	0	0.857616809033783	0	0	0
Tnn	0.671239994943489	0	0.881173787883776	1.46859932452056	3.19917617892658	0.169903461958781	0.0118645559271016	0.207794353918103	0.836588365407129	0.674713589790917
Tnnc1	86.7130841409462	119.581380323016	126.229744340826	7.64072436090714	16.1150459011878	41.5565983376235	0.686270892836034	2.9761984305042	4.09241415970527	18.7169608235608
Tnnc2	0	0	0	0	0	1.14100486765151	0	0	0	5.02814642782386
Tnni1	58.0826806169045	52.8200260008005	53.1188353080573	0.49635659230151	0.766198875789364	2.02000879711159	0.680550501962176	0	0.0348994026186716	0.0359012497993573
Tnni2	0	0	0	0	0	0	0.87830621549405	1.50809270603481	0	0
Tnni3	59.8303459075547	135.465805391724	75.2944674688912	49.2259585131005	18.1274843246525	50.5941498207572	2.00741374894757	8.44758861369237	12.6919470693287	40.5278926588157
Tnni3k	0.380732432150558	0.103280882482329	0.0290118713517471	0.0129834987279018	0.03826185886809	0.0778673933347975	0	0.251309123781449	0	0
Tnnt1	18.3286071409831	14.5106918200062	16.2798848581386	0.0383454399323081	1.84570749487371	9.00729182414995	2.24161201965812	1.05472782691188	1.2456037272501	2.25208888547192
Tnnt2	367.407101124676	267.074887221449	308.854149029395	17.3188465802893	27.1458720492053	81.5747395403038	6.16547524170903	11.569431967191	9.99895759947159	44.2425553537783
Tnnt3	3.27171767966666	17.8971146548396	4.29067719851454	33.1186930798044	13.1863130989694	30.0404901542312	6.11744864885196	1.39982214316088	12.3466054309752	18.4450437171652
Tnp1	0	0	0	0	0	0	0	0	0	0
Tnp2	0	0	0	0	0	0	0	0	0	0
Tnpo1	68.7973639931791	95.6862555359229	86.750962336869	68.4002330710619	72.8780468486838	63.6782019353956	48.8842287483415	49.2396012109797	37.0182181351489	40.204143712617
Tnpo2	28.3994800231799	38.2975732979518	39.218153487576	34.8804386835041	30.4921016441142	32.9978882169764	25.9507885963783	24.9932041726459	23.4483273125386	25.0834238992019
Tnpo3	66.683554889206	62.0516832883669	62.5401845889623	51.6001578040491	52.3390432756855	51.2995328761094	37.159481420227	34.0956556486866	38.1730210734231	37.2746828041469
Tnr	0	0	0	0	0	0.19025912491924	0.236337775632968	0.00745800062965871	0.0144125799878406	0.0222394767061079
Tnrc18	127.435719357853	120.173816382536	114.958589842409	92.5212484399373	76.2536834520051	98.0843194729133	71.1320625585747	80.8588510063663	76.1612386894116	79.5597367227843
Tnrc6a	45.6773306753754	62.568241775865	34.4523072152575	41.6245426078734	42.7372193057615	39.5253290628236	31.3270816766806	32.7192620441533	28.8500959997904	30.2301564453339
Tnrc6b	15.9420454285738	15.9169462988353	14.5235616125477	16.4017543921319	13.3825784743555	18.4015026242278	9.89110521079022	12.1272438656092	6.89369126423197	11.5957022335173
Tnrc6c	33.7849083088988	35.4723174387614	29.9455264228851	36.5091819036523	52.8931884386804	40.4512632890351	32.1627027400219	34.3720176773714	34.5527197582403	32.405764594328
Tns1	141.252931665575	138.854284393456	138.43270248501	221.002950561545	192.551399874013	209.469560895329	133.780291162244	146.359749584886	135.589136793333	163.655191710023
Tns2	207.097574390627	176.385015101187	179.87376879692	360.807209390679	391.470075893818	446.520219499358	282.164029803604	329.956714919171	324.973939574939	350.684521611924
Tns3	36.4858387920769	43.5333740528553	50.2245274259795	35.6586457233935	39.0412083975133	30.467711830788	51.7714947806998	41.9350378970027	42.5563492757432	47.7864873638973
